STUDY,YEAR,REP,ROTATION,TILLAGE,DEPTH,PLOT,SBD,EC,PH,NO3N,OLSONP,SO4S,CA,MG,K,NA,CEC,ZN,FE,MN,CU,B,TN,TC,SOC,SIC
SQM,2018,1,SWCcc,min,0to3,101,1.45,0.20,5.60,6.8,31.1,12.2,8.22,3.29,0.91,0.03,19.81,3.94,66.32,95.36,1.43,0.54,2.0,23.3,23.3,0.0
SQM,2018,1,SWCcc,min,3to6,101,1.40,0.15,6.07,5.0,7.5,8.8,7.79,3.13,0.40,0.04,13.30,5.64,37.85,52.70,1.82,0.48,1.6,18.5,18.5,0.0
SQM,2018,1,SWCcc,min,6to12,101,1.33,0.17,6.47,3.9,9.7,5.4,9.39,4.49,0.37,0.05,14.33,1.35,17.14,23.05,1.21,0.44,1.2,12.8,12.8,0.0
SQM,2018,1,SWCcc,min,12to24,101,1.38,0.32,7.44,1.8,4.8,5.9,7.34,3.94,0.20,0.05,11.56,0.41,9.62,6.41,1.56,0.35,0.7,7.4,7.0,0.4
SQM,2018,1,SWCcc,min,24to36,101,1.61,0.31,8.33,0.9,4.1,4.7,19.51,7.15,0.33,0.07,27.05,0.43,11.15,2.52,1.74,0.37,0.4,12.3,6.7,5.6
SQM,2018,1,SWCcc,min,36to48,101,1.57,0.33,8.46,1.3,4.5,5.2,17.13,8.18,0.32,0.11,25.75,0.46,11.95,2.04,1.80,0.30,0.4,13.2,6.2,7.1
SQM,2018,1,SWCcc,min,48to60,101,-9999,0.37,8.53,1.1,5.6,7.2,16.52,9.60,0.36,0.19,26.70,1.08,9.16,2.73,3.14,0.34,0.3,11.3,4.7,6.6
SQM,2018,1,SWCcc,no,0to3,102,1.47,0.21,5.45,11.0,31.3,14.2,7.77,3.15,0.78,0.04,15.25,1.87,65.09,87.34,1.27,0.53,2.0,23.6,23.6,0.0
SQM,2018,1,SWCcc,no,3to6,102,1.46,0.20,5.78,8.9,8.3,11.2,9.49,3.87,0.48,0.05,17.02,2.17,49.42,64.50,3.76,0.48,1.6,18.9,18.9,0.0
SQM,2018,1,SWCcc,no,6to12,102,1.30,0.20,6.25,4.5,6.2,6.9,9.63,4.57,0.38,0.06,14.66,0.57,35.14,29.90,1.54,0.44,1.4,14.4,14.4,0.0
SQM,2018,1,SWCcc,no,12to24,102,1.43,0.16,6.82,1.7,4.4,5.8,6.36,4.45,0.23,0.06,11.08,0.63,15.54,9.52,2.22,0.52,0.7,6.7,6.7,0.0
SQM,2018,1,SWCcc,no,24to36,102,1.53,0.32,8.25,0.8,4.9,4.7,18.86,7.10,0.30,0.08,26.29,0.83,11.49,2.82,2.86,0.41,0.4,10.3,5.5,4.8
SQM,2018,1,SWCcc,no,36to48,102,1.55,0.35,8.48,0.8,3.8,5.8,18.03,8.85,0.31,0.12,27.31,0.90,16.33,2.53,2.92,0.32,0.3,12.6,4.8,7.7
SQM,2018,1,SWCcc,no,48to60,102,-9999,0.37,8.43,0.8,5.2,6.2,14.72,9.91,0.37,0.17,25.18,0.89,11.08,2.62,2.66,0.30,0.3,9.8,5.2,4.6
SQM,2018,1,SWCcc,no,0to3,103,1.14,0.15,5.39,4.3,41.2,13.6,8.92,3.46,0.93,0.04,19.42,2.35,79.70,90.96,1.61,0.50,2.1,25.3,25.3,0.0
SQM,2018,1,SWCcc,no,3to6,103,1.35,0.15,5.55,3.1,14.0,11.0,8.99,3.39,0.41,0.05,16.40,2.06,93.06,77.24,3.56,0.48,1.9,21.4,21.4,0.0
SQM,2018,1,SWCcc,no,6to12,103,1.33,0.15,6.30,2.5,6.5,6.2,12.01,5.30,0.43,0.06,19.10,0.91,24.23,29.86,1.94,0.46,1.6,16.6,16.6,0.0
SQM,2018,1,SWCcc,no,12to24,103,1.31,0.18,6.92,1.8,5.4,5.3,9.24,5.67,0.30,0.07,15.24,0.56,11.17,9.03,1.90,0.49,0.9,8.7,8.7,0.0
SQM,2018,1,SWCcc,no,24to36,103,1.50,0.34,8.28,0.9,4.3,4.9,19.69,7.41,0.31,0.08,27.53,0.76,35.17,4.93,2.96,0.47,0.5,11.0,2.4,8.6
SQM,2018,1,SWCcc,no,36to48,103,1.65,0.33,8.51,1.2,4.5,5.5,18.21,8.57,0.30,0.12,27.16,0.75,18.89,3.21,2.64,0.34,0.3,13.3,7.5,5.7
SQM,2018,1,SWCcc,no,48to60,103,-9999,0.30,8.59,0.9,4.3,7.8,16.92,10.21,0.35,0.18,27.70,0.67,21.48,4.18,2.34,0.32,0.2,11.3,4.9,6.4
SQM,2018,1,SWCcc,min,0to3,104,1.13,0.15,5.60,3.1,24.5,13.7,7.92,3.08,0.95,0.04,15.53,3.06,73.09,95.51,1.38,0.57,2.3,27.1,27.1,0.0
SQM,2018,1,SWCcc,min,3to6,104,1.34,0.13,5.68,2.6,11.4,7.9,10.02,3.72,0.51,0.03,17.74,1.56,57.69,69.04,2.58,0.48,2.0,22.4,22.4,0.0
SQM,2018,1,SWCcc,min,6to12,104,1.30,0.11,6.20,2.6,5.3,6.0,10.09,4.38,0.38,0.05,15.78,0.67,22.85,29.82,1.40,0.43,1.5,15.8,15.8,0.0
SQM,2018,1,SWCcc,min,12to24,104,1.35,0.21,7.16,0.9,5.5,4.5,11.29,5.37,0.29,0.05,17.02,0.73,25.10,9.82,2.43,0.32,0.9,9.3,9.3,0.0
SQM,2018,1,SWCcc,min,24to36,104,1.48,0.28,8.28,1.0,4.4,5.7,21.10,6.51,0.29,0.07,27.98,0.36,7.77,2.62,1.74,0.40,0.4,14.1,6.0,8.1
SQM,2018,1,SWCcc,min,36to48,104,1.49,0.32,8.56,0.8,4.7,4.4,18.43,8.10,0.30,0.10,26.92,0.66,9.52,2.43,2.18,0.33,0.3,14.0,6.0,8.0
SQM,2018,1,SWCcc,min,48to60,104,1.39,0.30,8.58,0.7,5.5,7.4,16.13,9.17,0.32,0.17,25.80,0.69,18.79,4.19,2.41,0.37,0.2,10.2,4.4,5.7
SQM,2018,1,SWCcc,no,0to3,105,1.18,0.14,5.30,4.4,31.1,13.2,8.66,3.67,0.82,0.04,19.16,2.15,74.68,104.53,2.22,0.54,2.1,24.5,24.5,0.0
SQM,2018,1,SWCcc,no,3to6,105,1.42,0.15,5.89,4.3,6.9,8.7,9.06,3.61,0.37,0.18,15.56,1.14,49.89,58.74,2.19,0.46,1.7,19.2,19.2,0.0
SQM,2018,1,SWCcc,no,6to12,105,1.33,0.17,6.41,3.0,5.1,5.3,9.93,4.85,0.33,0.06,15.19,0.86,18.60,21.13,2.23,0.44,1.2,12.6,12.6,0.0
SQM,2018,1,SWCcc,no,12to24,105,1.34,0.32,7.55,2.3,4.7,4.9,14.24,5.46,0.25,0.06,20.05,0.87,12.95,6.91,2.86,0.37,0.7,8.3,7.3,0.9
SQM,2018,1,SWCcc,no,24to36,105,1.51,0.33,8.50,1.0,4.1,7.1,20.28,7.24,0.29,0.08,27.91,0.48,9.34,2.33,1.95,0.38,0.4,18.2,5.6,12.6
SQM,2018,1,SWCcc,no,36to48,105,1.62,0.34,8.64,0.5,4.2,9.1,17.33,8.50,0.29,0.11,26.25,0.86,41.57,9.08,2.72,0.35,0.3,13.3,4.9,8.4
SQM,2018,1,SWCcc,no,48to60,105,1.45,0.36,8.53,0.7,9.7,8.5,15.13,9.89,0.34,0.17,25.52,0.43,8.38,2.53,1.39,0.35,0.3,11.1,5.4,5.7
SQM,2018,1,SWCcc,min,0to3,106,1.07,0.16,5.38,3.8,24.3,12.7,6.86,2.90,0.62,0.03,14.80,2.62,67.65,93.84,2.66,0.53,2.2,24.7,24.7,0.0
SQM,2018,1,SWCcc,min,3to6,106,1.47,0.17,5.70,3.6,8.6,9.2,9.10,3.81,0.39,0.05,16.52,1.58,46.06,62.87,1.97,0.44,1.6,17.9,17.9,0.0
SQM,2018,1,SWCcc,min,6to12,106,1.34,0.17,6.39,1.7,4.9,6.3,8.47,4.18,0.27,0.05,12.93,0.63,15.56,21.30,1.47,0.42,1.1,11.4,11.4,0.0
SQM,2018,1,SWCcc,min,12to24,106,1.35,0.40,7.75,1.5,4.3,6.1,15.29,5.65,0.25,0.06,21.29,0.77,10.01,4.86,2.57,0.37,0.8,11.5,9.7,1.8
SQM,2018,1,SWCcc,min,24to36,106,1.55,0.34,8.48,1.6,4.1,4.5,20.02,7.83,0.29,0.08,28.22,0.90,11.97,4.67,3.00,0.39,0.3,15.4,6.1,9.3
SQM,2018,1,SWCcc,min,36to48,106,1.57,0.36,8.56,2.0,4.8,4.5,15.15,8.78,0.29,0.12,24.38,0.44,9.07,3.32,1.63,0.31,0.1,12.5,5.9,6.5
SQM,2018,1,SWCcc,min,48to60,106,-9999,0.34,8.63,1.6,5.5,12.2,13.40,11.14,0.38,0.22,25.12,0.80,9.64,3.02,2.36,0.44,0.2,9.5,4.9,4.6
SQM,2018,1,SWS,no,0to3,109,1.25,0.18,5.22,8.5,25.7,11.8,6.83,3.13,0.41,0.04,12.93,5.68,125.17,78.04,6.11,0.43,2.0,24.8,24.8,0.0
SQM,2018,1,SWS,no,3to6,109,1.35,0.20,5.50,7.1,7.8,7.4,8.32,3.38,0.30,0.05,17.93,1.85,66.59,74.73,2.45,0.41,1.5,18.0,18.0,0.0
SQM,2018,1,SWS,no,6to12,109,1.34,0.16,6.05,5.0,5.3,5.0,8.33,4.22,0.28,0.05,15.75,1.23,39.18,35.29,1.76,0.39,1.1,11.7,11.7,0.0
SQM,2018,1,SWS,no,12to24,109,1.42,0.40,7.50,2.1,4.6,2.6,11.02,5.24,0.25,0.06,16.60,0.90,13.30,8.25,1.82,0.31,0.7,8.4,7.7,0.7
SQM,2018,1,SWS,no,24to36,109,1.51,0.36,8.31,1.3,4.5,2.9,19.54,7.58,0.27,0.08,27.43,1.33,16.34,4.08,3.27,0.42,0.3,15.7,8.5,7.3
SQM,2018,1,SWS,no,36to48,109,1.59,0.36,8.53,0.5,5.3,4.9,15.83,8.73,0.27,0.13,24.96,0.92,12.72,4.47,1.95,0.36,0.2,11.8,6.1,5.8
SQM,2018,1,SWS,no,48to60,109,-9999,0.36,8.59,0.9,4.9,7.5,14.88,10.40,0.33,0.21,25.85,1.08,12.05,3.40,2.08,0.38,0.2,9.7,5.5,4.2
SQM,2018,1,SWS,min,0to3,110,1.17,0.17,5.25,4.8,31.4,12.1,7.77,3.51,0.58,0.05,21.52,2.92,136.06,95.93,2.51,0.50,1.9,24.1,24.1,0.0
SQM,2018,1,SWS,min,3to6,110,1.50,0.17,5.73,5.3,5.7,6.2,8.48,3.56,0.29,0.05,17.51,1.57,56.82,59.45,1.90,0.49,1.2,15.1,15.1,0.0
SQM,2018,1,SWS,min,6to12,110,1.40,0.22,6.33,5.2,4.6,4.7,8.08,4.08,0.28,0.05,12.50,1.34,24.62,30.53,1.67,0.49,1.1,12.6,12.6,0.0
SQM,2018,1,SWS,min,12to24,110,1.41,0.22,6.95,3.5,4.6,3.1,6.99,5.13,0.23,0.05,12.44,1.59,28.57,14.19,2.85,0.41,0.7,6.8,6.8,0.0
SQM,2018,1,SWS,min,24to36,110,1.52,0.40,8.21,1.9,4.4,3.0,18.02,7.69,0.29,0.08,26.13,1.53,28.56,5.93,3.47,0.46,0.3,9.4,6.5,2.9
SQM,2018,1,SWS,min,36to48,110,1.52,0.38,8.54,0.8,5.3,4.4,18.61,9.34,0.33,0.17,28.42,1.71,21.32,4.87,3.35,0.38,0.2,11.6,5.4,6.1
SQM,2018,1,SWS,min,48to60,110,1.39,0.43,8.52,0.7,4.5,5.2,15.07,8.74,0.31,0.21,24.30,1.21,18.59,4.26,2.33,0.45,0.2,11.1,6.8,4.3
SQM,2018,1,SWS,no,0to3,111,1.08,0.20,5.16,9.3,52.1,11.9,7.03,3.21,0.53,0.04,21.29,4.87,115.96,90.78,2.06,0.46,2.1,23.3,23.3,0.0
SQM,2018,1,SWS,no,3to6,111,1.50,0.17,5.58,5.2,8.5,6.5,8.26,3.51,0.34,0.04,17.54,1.82,64.25,67.74,2.51,0.42,1.5,16.4,16.4,0.0
SQM,2018,1,SWS,no,6to12,111,1.33,0.17,6.71,3.3,5.0,4.6,7.60,3.79,0.27,0.05,11.72,1.50,27.60,33.21,1.73,0.40,1.3,13.7,13.7,0.0
SQM,2018,1,SWS,no,12to24,111,1.35,0.29,7.22,1.0,4.7,2.1,8.75,5.22,0.26,0.05,14.29,1.66,15.95,12.83,1.23,0.37,0.8,9.9,9.8,0.2
SQM,2018,1,SWS,no,24to36,111,1.51,0.37,8.21,0.7,4.1,2.7,15.77,6.38,0.26,0.07,22.43,0.87,12.91,3.79,1.71,0.36,0.2,7.6,5.4,2.2
SQM,2018,1,SWS,no,36to48,111,1.57,0.33,8.44,0.7,5.1,4.0,16.25,7.38,0.28,0.12,24.05,1.07,23.37,3.12,1.74,0.35,0.2,11.0,5.9,5.1
SQM,2018,1,SWS,no,48to60,111,1.54,0.36,8.45,1.1,5.6,5.3,15.66,8.22,0.31,0.19,24.41,1.33,29.56,5.54,2.50,0.39,0.1,13.8,9.4,4.4
SQM,2018,1,SWS,min,0to3,112,1.10,0.20,5.26,5.7,28.6,12.0,7.22,3.18,0.49,0.05,20.66,3.35,104.09,99.70,3.06,0.40,2.0,21.6,21.6,0.0
SQM,2018,1,SWS,min,3to6,112,1.44,0.19,5.67,6.0,6.0,7.5,8.46,3.80,0.32,0.05,16.97,1.71,60.45,57.14,2.15,0.37,1.4,14.8,14.8,0.0
SQM,2018,1,SWS,min,6to12,112,1.38,0.21,6.18,4.7,4.8,4.2,7.90,4.12,0.28,0.05,14.20,1.41,25.00,34.54,1.69,0.38,1.1,11.5,11.5,0.0
SQM,2018,1,SWS,min,12to24,112,1.37,0.39,7.27,2.3,5.2,3.6,9.57,5.21,0.24,0.05,15.07,1.59,32.09,14.49,3.11,0.30,0.6,7.7,7.2,0.5
SQM,2018,1,SWS,min,24to36,112,1.48,0.36,8.26,1.0,5.1,3.6,18.24,6.91,0.26,0.07,25.47,0.93,12.25,4.08,2.20,0.34,0.4,12.8,7.0,5.8
SQM,2018,1,SWS,min,36to48,112,1.60,0.36,8.51,1.8,5.0,4.1,17.33,8.94,0.32,0.14,26.70,1.37,20.27,4.68,2.24,0.37,0.3,12.0,6.6,5.5
SQM,2018,1,SWS,min,48to60,112,1.50,0.37,8.48,1.0,5.5,4.7,13.62,8.66,0.34,0.18,22.76,1.28,22.95,6.81,2.35,0.40,0.2,9.7,5.7,3.9
SQM,2018,1,SWCS,min,0to3,115,1.18,0.18,5.28,6.7,46.2,12.9,8.35,3.73,0.78,0.06,21.58,2.05,96.85,109.55,1.81,0.51,1.8,20.2,20.2,0.0
SQM,2018,1,SWCS,min,3to6,115,1.56,0.15,5.74,5.2,6.1,7.2,7.66,3.24,0.30,0.04,16.03,1.89,76.55,60.91,2.20,0.47,1.4,15.5,15.5,0.0
SQM,2018,1,SWCS,min,6to12,115,1.37,0.19,6.29,4.4,5.0,4.8,7.58,3.82,0.24,0.05,11.71,1.00,27.33,28.01,1.65,0.39,0.9,11.2,11.2,0.0
SQM,2018,1,SWCS,min,12to24,115,1.34,0.38,7.98,2.9,4.7,3.8,19.74,5.39,0.23,0.06,25.45,0.90,11.51,6.24,1.83,0.42,0.4,14.3,10.3,3.9
SQM,2018,1,SWCS,min,24to36,115,1.52,0.36,8.52,1.5,4.5,4.5,18.24,7.75,0.30,0.10,26.43,0.87,9.95,3.41,1.49,0.39,0.1,12.3,6.0,6.3
SQM,2018,1,SWCS,min,36to48,115,1.61,0.39,8.56,1.2,4.5,3.9,15.78,8.69,0.28,0.17,24.87,1.09,17.07,4.29,2.16,0.34,0.2,15.2,6.3,8.9
SQM,2018,1,SWCS,min,48to60,115,1.48,0.38,8.56,1.5,4.9,4.8,11.60,8.39,0.32,0.23,20.52,0.75,9.05,3.02,2.12,0.41,0.1,10.3,6.0,4.3
SQM,2018,1,SWCS,no,0to3,116,1.18,0.18,5.12,6.0,55.0,11.3,7.16,3.09,0.66,0.03,20.61,2.59,72.38,101.69,2.72,0.46,1.9,22.8,22.8,0.0
SQM,2018,1,SWCS,no,3to6,116,1.49,0.15,5.69,5.2,8.7,6.5,8.67,3.48,0.33,0.05,16.79,1.21,36.99,57.10,1.82,0.44,1.5,17.1,17.1,0.0
SQM,2018,1,SWCS,no,6to12,116,1.35,0.18,6.28,4.5,5.1,4.3,7.82,3.81,0.26,0.05,13.67,0.65,15.42,23.82,1.43,0.40,1.1,11.8,11.8,0.0
SQM,2018,1,SWCS,no,12to24,116,1.37,0.42,7.63,3.1,4.6,4.0,11.02,5.00,0.23,0.06,16.30,0.53,9.60,8.15,1.88,0.41,0.7,8.2,7.5,0.7
SQM,2018,1,SWCS,no,24to36,116,1.55,0.34,8.39,1.6,4.8,4.6,18.71,6.60,0.25,0.08,25.61,0.59,8.05,2.33,2.18,0.42,0.3,15.4,7.4,8.0
SQM,2018,1,SWCS,no,36to48,116,1.59,0.37,8.53,0.7,4.8,3.5,16.22,8.66,0.29,0.15,25.29,0.72,16.86,3.29,2.22,0.30,0.2,11.5,6.2,5.3
SQM,2018,1,SWCS,no,48to60,116,-9999,0.39,8.53,0.5,4.9,3.4,13.54,8.67,0.31,0.19,22.74,0.60,9.52,2.53,1.68,0.36,0.2,10.8,7.1,3.8
SQM,2018,1,SWCS,no,0to3,117,1.17,0.19,5.42,3.7,33.1,10.8,8.32,3.47,0.91,0.03,19.57,3.68,65.71,100.56,3.85,0.51,2.0,22.4,22.4,0.0
SQM,2018,1,SWCS,no,3to6,117,1.41,0.18,5.64,6.1,11.6,8.2,9.82,3.85,0.49,0.05,20.04,2.09,45.04,63.92,3.77,0.46,1.6,18.4,18.4,0.0
SQM,2018,1,SWCS,no,6to12,117,1.34,0.20,6.15,4.2,5.5,4.3,8.68,3.80,0.32,0.06,14.29,1.14,24.21,33.84,1.76,0.46,1.2,12.4,12.4,0.0
SQM,2018,1,SWCS,no,12to24,117,1.26,0.30,7.35,1.6,4.6,3.6,9.54,4.28,0.24,0.06,14.12,0.51,7.79,10.52,1.21,0.32,0.9,9.3,8.8,0.5
SQM,2018,1,SWCS,no,24to36,117,1.43,0.32,8.25,1.5,4.9,3.7,17.94,6.40,0.28,0.07,24.71,0.78,31.71,7.30,2.51,0.36,0.4,11.5,7.9,3.5
SQM,2018,1,SWCS,no,36to48,117,1.60,0.34,8.53,0.8,4.8,4.8,16.81,7.95,0.29,0.11,25.19,0.71,7.78,2.14,2.08,0.30,0.2,12.0,5.7,6.4
SQM,2018,1,SWCS,no,48to60,117,-9999,0.31,8.51,7.5,4.7,7.5,14.32,7.86,0.28,0.12,22.52,0.94,15.83,3.79,2.44,0.27,0.2,9.0,4.8,4.2
SQM,2018,1,SWCS,min,0to3,118,1.08,0.22,5.43,3.7,36.3,11.3,8.48,3.08,1.17,0.03,17.17,2.85,69.86,108.28,2.20,0.43,2.2,26.1,26.1,0.0
SQM,2018,1,SWCS,min,3to6,118,1.44,0.19,5.63,5.2,10.3,8.0,9.82,3.38,0.71,0.04,16.86,2.18,54.18,76.66,3.30,0.46,1.8,22.5,22.5,0.0
SQM,2018,1,SWCS,min,6to12,118,1.32,0.15,6.21,2.5,5.8,4.6,9.88,3.63,0.45,0.06,13.95,1.26,32.98,39.23,2.26,0.42,1.6,19.0,19.0,0.0
SQM,2018,1,SWCS,min,12to24,118,1.34,0.16,6.66,1.0,4.8,2.9,10.17,4.85,0.44,0.08,15.51,0.48,10.15,12.98,1.02,0.34,0.9,10.4,10.4,0.0
SQM,2018,1,SWCS,min,24to36,118,1.55,0.37,7.70,2.7,5.0,2.5,12.14,4.92,0.30,0.08,17.42,0.52,18.50,5.65,1.74,0.31,0.4,5.2,4.7,0.5
SQM,2018,1,SWCS,min,36to48,118,1.74,0.31,8.32,1.2,3.6,3.6,19.83,4.81,0.29,0.07,25.02,0.72,12.61,2.74,1.90,0.22,0.2,20.4,8.6,11.8
SQM,2018,1,SWCS,min,48to60,118,1.57,0.34,8.29,1.7,4.3,4.9,16.00,5.37,0.27,0.09,21.71,0.71,11.10,2.34,1.89,0.20,0.2,12.2,5.5,6.7
SQM,2018,1,SWCS,no,0to3,119,1.05,0.17,5.69,4.6,28.5,9.9,8.08,2.71,1.22,0.03,14.97,2.56,63.57,66.68,1.62,0.50,2.2,26.7,26.7,0.0
SQM,2018,1,SWCS,no,3to6,119,1.40,0.16,5.63,2.3,8.1,7.4,8.68,2.87,0.82,0.03,15.35,1.43,47.88,64.10,1.48,0.42,1.9,23.0,23.0,0.0
SQM,2018,1,SWCS,no,6to12,119,1.21,0.13,5.99,0.9,6.1,4.7,8.97,3.30,0.57,0.03,12.87,0.94,30.68,42.40,1.29,0.38,1.7,20.4,20.4,0.0
SQM,2018,1,SWCS,no,12to24,119,1.34,0.15,6.39,0.4,5.2,2.4,7.81,3.72,0.39,0.04,11.92,0.53,11.72,15.99,1.09,0.32,0.9,11.6,11.6,0.0
SQM,2018,1,SWCS,no,24to36,119,1.55,0.17,6.85,1.0,5.5,1.8,9.06,5.66,0.39,0.06,15.21,0.63,13.37,7.85,2.01,0.34,0.4,4.7,4.7,0.0
SQM,2018,1,SWCS,no,36to48,119,1.62,0.35,8.09,0.9,4.3,4.1,18.42,6.33,0.39,0.07,25.21,1.00,14.21,3.31,2.95,0.29,0.2,8.3,5.3,3.0
SQM,2018,1,SWCS,no,48to60,119,1.54,0.36,8.20,1.0,4.8,4.4,18.81,6.16,0.34,0.09,25.35,0.64,17.58,2.43,1.89,0.23,0.2,10.2,5.7,4.5
SQM,2018,1,SWCS,min,0to3,120,1.11,0.20,5.54,4.9,32.7,10.7,8.19,2.99,1.24,0.03,16.02,2.77,78.06,81.75,1.91,0.44,2.2,27.1,27.1,0.0
SQM,2018,1,SWCS,min,3to6,120,1.38,0.16,5.72,2.7,9.8,6.9,8.34,2.93,0.71,0.03,14.28,1.83,48.87,68.10,1.88,0.41,1.8,21.1,21.1,0.0
SQM,2018,1,SWCS,min,6to12,120,1.26,0.16,6.19,2.9,6.1,4.2,8.22,3.35,0.51,0.03,12.15,0.64,21.87,32.76,0.99,0.39,1.6,17.7,17.7,0.0
SQM,2018,1,SWCS,min,12to24,120,1.35,0.16,6.46,0.5,4.2,2.6,8.16,4.50,0.39,0.05,13.13,0.61,17.71,13.43,1.42,0.32,0.8,9.9,9.9,0.0
SQM,2018,1,SWCS,min,24to36,120,1.61,0.41,7.75,0.3,4.6,3.1,14.33,5.46,0.34,0.05,20.15,0.67,13.66,3.78,1.95,0.33,0.2,6.3,4.5,1.8
SQM,2018,1,SWCS,min,36to48,120,1.62,0.36,8.27,0.9,4.8,4.9,19.88,6.79,0.38,0.08,27.12,1.07,9.98,1.94,2.85,0.28,0.2,11.6,4.9,6.7
SQM,2018,1,SWCS,min,48to60,120,-9999,0.35,8.32,0.6,5.6,5.3,19.74,6.92,0.31,0.09,27.08,0.49,9.16,1.75,1.38,0.25,0.1,13.7,7.2,6.5
SQM,2018,2,SWCcc,no,0to3,205,1.32,0.18,5.28,4.8,21.9,12.1,7.71,3.57,0.59,0.05,16.57,2.53,67.66,99.44,2.88,0.46,1.9,21.1,21.1,0.0
SQM,2018,2,SWCcc,no,3to6,205,1.50,0.18,5.82,3.0,7.8,7.3,7.43,3.30,0.29,0.04,13.16,4.54,40.06,54.58,9.69,0.49,1.6,17.3,17.3,0.0
SQM,2018,2,SWCcc,no,6to12,205,1.39,0.17,6.55,3.0,4.0,4.5,7.84,4.17,0.25,0.04,12.34,1.70,10.78,17.78,3.97,0.38,1.1,10.6,10.6,0.0
SQM,2018,2,SWCcc,no,12to24,205,1.36,0.32,7.99,0.8,4.6,4.6,14.19,4.57,0.20,0.05,18.99,1.69,8.28,4.38,4.19,0.42,0.7,12.1,9.0,3.1
SQM,2018,2,SWCcc,no,24to36,205,1.55,0.35,8.53,1.2,4.7,4.5,18.22,7.30,0.25,0.07,25.79,1.03,6.03,1.95,2.58,0.34,0.2,14.0,6.4,7.7
SQM,2018,2,SWCcc,no,36to48,205,1.64,0.38,8.53,0.6,4.6,5.2,16.17,9.83,0.31,0.12,26.45,1.26,6.39,2.03,3.24,0.38,0.2,13.2,6.7,6.4
SQM,2018,2,SWCcc,no,48to60,205,-9999,0.39,8.45,1.1,4.6,5.3,14.29,10.36,0.37,0.21,25.23,3.23,12.42,4.66,8.06,0.45,0.2,9.6,5.8,3.7
SQM,2018,2,SWCcc,min,0to3,206,1.34,0.19,5.75,4.6,24.0,9.5,8.97,4.06,0.71,0.03,16.29,2.52,48.77,58.66,2.88,0.54,1.9,21.0,21.0,0.0
SQM,2018,2,SWCcc,min,3to6,206,1.59,0.17,6.01,3.0,4.8,7.6,9.76,4.50,0.37,0.04,16.66,2.79,32.64,44.14,6.07,0.55,1.4,14.9,14.9,0.0
SQM,2018,2,SWCcc,min,6to12,206,1.38,0.19,6.57,1.6,4.3,5.7,7.18,4.17,0.22,0.05,11.63,1.11,9.79,12.50,2.63,0.37,0.8,8.3,8.3,0.0
SQM,2018,2,SWCcc,min,12to24,206,1.41,0.37,8.23,0.7,4.8,4.1,19.85,5.88,0.25,0.05,26.08,1.53,7.17,3.01,3.89,0.46,0.6,17.1,13.7,3.4
SQM,2018,2,SWCcc,min,24to36,206,1.53,0.34,8.53,0.8,4.2,6.1,18.02,7.85,0.25,0.09,26.22,0.57,5.83,1.94,1.79,0.36,0.2,16.6,6.9,9.7
SQM,2018,2,SWCcc,min,36to48,206,1.56,0.38,8.62,1.0,4.9,4.2,13.99,8.94,0.29,0.14,23.39,0.69,6.79,2.52,2.09,0.44,0.1,11.6,6.2,5.4
SQM,2018,2,SWCcc,min,48to60,206,-9999,0.39,8.62,1.1,5.1,6.2,13.01,10.39,0.40,0.22,24.01,1.92,14.10,4.67,4.67,0.52,0.2,9.5,5.9,3.6
SQM,2018,2,SWCcc,no,0to3,207,1.28,0.16,5.34,2.1,26.5,14.9,7.34,3.45,0.65,0.04,16.57,1.66,63.74,80.79,1.55,0.53,1.9,21.5,21.5,0.0
SQM,2018,2,SWCcc,no,3to6,207,1.55,0.16,5.82,1.9,6.2,8.3,9.90,4.50,0.38,0.06,16.66,4.43,68.96,59.61,9.98,0.56,1.4,15.2,15.2,0.0
SQM,2018,2,SWCcc,no,6to12,207,1.35,0.18,6.29,2.2,4.6,6.7,8.57,4.46,0.27,0.05,13.32,2.51,24.99,21.30,5.64,0.49,1.0,10.4,10.4,0.0
SQM,2018,2,SWCcc,no,12to24,207,1.46,0.35,8.15,0.8,5.0,6.0,19.89,5.45,0.25,0.05,25.63,1.84,8.74,3.69,4.47,0.43,0.4,15.3,9.3,6.0
SQM,2018,2,SWCcc,no,24to36,207,1.55,0.35,8.46,0.3,3.0,4.6,18.50,7.65,0.26,0.08,26.51,0.86,6.21,2.04,2.09,0.35,0.3,15.7,7.2,8.5
SQM,2018,2,SWCcc,no,36to48,207,1.60,0.35,8.56,0.4,4.7,5.7,15.87,10.59,0.34,0.16,27.00,1.17,6.99,2.33,2.66,0.38,0.2,10.5,5.4,5.1
SQM,2018,2,SWCcc,no,48to60,207,-9999,0.37,8.58,0.2,5.3,6.1,14.44,10.39,0.38,0.20,25.43,1.69,7.28,2.91,3.95,0.36,0.1,11.1,6.3,4.8
SQM,2018,2,SWCcc,min,0to3,208,1.32,0.16,5.35,3.1,29.9,13.6,8.05,3.75,0.73,0.05,16.32,2.72,62.97,90.95,2.83,0.56,2.0,22.1,22.1,0.0
SQM,2018,2,SWCcc,min,3to6,208,1.53,0.18,5.88,5.5,6.2,8.3,8.41,3.81,0.31,0.05,14.68,3.78,34.99,51.80,8.05,0.55,1.5,16.1,16.1,0.0
